Name,Phone,Rating
Saurabh Aware Test,1234567890,Cold
GenePoint Test,(650) 867-3450,Cold
"United Oil & Gas, UK Test",+44 191 4956203,Cold
"United Oil & Gas, Singapore Test",(650) 450-8810,Cold
Edge Communications Test,(512) 757-6000,Cold
Burlington Textiles Corp of Test,(336) 222-7000,Cold
Grand Hotels & Resorts Ltd Test,(312) 596-1000,Cold
Express Logistics and Transport Test,(503) 421-7800,Cold
University of Arizona Test,(520) 773-9050,Cold
United Oil & Gas Corpc Test,(212) 842-5500,Cold
sForce Test,(415) 901-7000,Cold
